groupHeader3_GroupColumn	groupHeader4_GroupColumn	groupHeader5_GroupColumn	groupHeader6_GroupColumn	groupHeader7_GroupColumn	groupHeader8_GroupColumn	groupHeader9_GroupColumn	groupHeader10_GroupColumn	groupHeader11_GroupColumn	detail_WBS1	detail_WBS2	detail_Name	detail_OrgName	detail_Fee	detail_FeeDirLab	detail_ReimbAllow	groupFooter11_GroupColumn	groupFooter11_Fee	groupFooter11_FeeDirLab	groupFooter11_ReimbAllow	groupFooter10_GroupColumn	groupFooter10_Fee	groupFooter10_FeeDirLab	groupFooter10_ReimbAllow	groupFooter9_GroupColumn	groupFooter9_Fee	groupFooter9_FeeDirLab	groupFooter9_ReimbAllow	groupFooter8_GroupColumn	groupFooter8_Fee	groupFooter8_FeeDirLab	groupFooter8_ReimbAllow	groupFooter7_GroupColumn	groupFooter7_Fee	groupFooter7_FeeDirLab	groupFooter7_ReimbAllow	groupFooter6_GroupColumn	groupFooter6_Fee	groupFooter6_FeeDirLab	groupFooter6_ReimbAllow	groupFooter5_GroupColumn	groupFooter5_Fee	groupFooter5_FeeDirLab	groupFooter5_ReimbAllow	groupFooter4_GroupColumn	groupFooter4_Fee	groupFooter4_FeeDirLab	groupFooter4_ReimbAllow	groupFooter3_GroupColumn	groupFooter3_Fee	groupFooter3_FeeDirLab	groupFooter3_ReimbAllow
Start Date: 8/17/2024	Estimated Completion Date: 8/7/2027	Practice Area: K12 Education	Status: Active	Project Short Name: Colorado Springs D11: Palmer High School	City: Colorado Springs	State: CO	Real or Awaiting: Real	Date Awarded: 8/5/2024	0104760.00.0	 	Colorado Springs D11: Palmer High School	Austin Studio 01	"976,137.40"	"976,137.40"		Total for 8/5/2024	"976,137.40"	"976,137.40"		Total for Real	"976,137.40"	"976,137.40"		Total for CO	"976,137.40"	"976,137.40"		Total for Colorado Springs	"976,137.40"	"976,137.40"		Total for Colorado Springs D11: Palmer High School	"976,137.40"	"976,137.40"		Total for Active	"976,137.40"	"976,137.40"		Total for K12 Education	"976,137.40"	"976,137.40"		Total for 8/7/2027	"976,137.40"	"976,137.40"		Total for 8/17/2024	"976,137.40"	"976,137.40"	
Start Date: 8/17/2024	Estimated Completion Date: 8/7/2027	Practice Area: K12 Education	Status: Active	Project Short Name: Colorado Springs D11: Palmer High School	City: Colorado Springs	State: CO	Real or Awaiting: Real	Date Awarded: 8/5/2024	0104760.00.0	40	Public Engagement	Austin Studio 01	"60,000.00"	"60,000.00"		Total for 8/5/2024	"60,000.00"	"60,000.00"		Total for Real	"60,000.00"	"60,000.00"		Total for CO	"60,000.00"	"60,000.00"		Total for Colorado Springs	"60,000.00"	"60,000.00"		Total for Colorado Springs D11: Palmer High School	"60,000.00"	"60,000.00"		Total for Active	"60,000.00"	"60,000.00"		Total for K12 Education	"60,000.00"	"60,000.00"		Total for 8/7/2027	"60,000.00"	"60,000.00"		Total for 8/17/2024	"60,000.00"	"60,000.00"	
Start Date: 8/17/2024	Estimated Completion Date: 8/7/2027	Practice Area: K12 Education	Status: Active	Project Short Name: Colorado Springs D11: Palmer High School	City: Colorado Springs	State: CO	Real or Awaiting: Real	Date Awarded: 8/5/2024	0104760.00.0	90	PreDesign	Austin Studio 01	"85,365.00"	"85,365.00"		Total for 8/5/2024	"85,365.00"	"85,365.00"		Total for Real	"85,365.00"	"85,365.00"		Total for CO	"85,365.00"	"85,365.00"		Total for Colorado Springs	"85,365.00"	"85,365.00"		Total for Colorado Springs D11: Palmer High School	"85,365.00"	"85,365.00"		Total for Active	"85,365.00"	"85,365.00"		Total for K12 Education	"85,365.00"	"85,365.00"		Total for 8/7/2027	"85,365.00"	"85,365.00"		Total for 8/17/2024	"85,365.00"	"85,365.00"	
Start Date: 8/17/2024	Estimated Completion Date: 8/7/2027	Practice Area: K12 Education	Status: Active	Project Short Name: Colorado Springs D11: Palmer High School	City: Colorado Springs	State: CO	Real or Awaiting: Real	Date Awarded: 8/5/2024	0104760.00.0	100	Schematic Design	Austin Studio 01	"316,352.80"	"316,352.80"		Total for 8/5/2024	"316,352.80"	"316,352.80"		Total for Real	"316,352.80"	"316,352.80"		Total for CO	"316,352.80"	"316,352.80"		Total for Colorado Springs	"316,352.80"	"316,352.80"		Total for Colorado Springs D11: Palmer High School	"316,352.80"	"316,352.80"		Total for Active	"316,352.80"	"316,352.80"		Total for K12 Education	"316,352.80"	"316,352.80"		Total for 8/7/2027	"316,352.80"	"316,352.80"		Total for 8/17/2024	"316,352.80"	"316,352.80"	
Start Date: 8/17/2024	Estimated Completion Date: 8/7/2027	Practice Area: K12 Education	Status: Active	Project Short Name: Colorado Springs D11: Palmer High School	City: Colorado Springs	State: CO	Real or Awaiting: Real	Date Awarded: 8/5/2024	0104760.00.0	200	Design Development	Austin Studio 01	"200,858.40"	"200,858.40"		Total for 8/5/2024	"200,858.40"	"200,858.40"		Total for Real	"200,858.40"	"200,858.40"		Total for CO	"200,858.40"	"200,858.40"		Total for Colorado Springs	"200,858.40"	"200,858.40"		Total for Colorado Springs D11: Palmer High School	"200,858.40"	"200,858.40"		Total for Active	"200,858.40"	"200,858.40"		Total for K12 Education	"200,858.40"	"200,858.40"		Total for 8/7/2027	"200,858.40"	"200,858.40"		Total for 8/17/2024	"200,858.40"	"200,858.40"	
Start Date: 8/17/2024	Estimated Completion Date: 8/7/2027	Practice Area: K12 Education	Status: Active	Project Short Name: Colorado Springs D11: Palmer High School	City: Colorado Springs	State: CO	Real or Awaiting: Real	Date Awarded: 8/5/2024	0104760.00.0	300	Construction Document	Austin Studio 01	"281,201.40"	"281,201.40"		Total for 8/5/2024	"281,201.40"	"281,201.40"		Total for Real	"281,201.40"	"281,201.40"		Total for CO	"281,201.40"	"281,201.40"		Total for Colorado Springs	"281,201.40"	"281,201.40"		Total for Colorado Springs D11: Palmer High School	"281,201.40"	"281,201.40"		Total for Active	"281,201.40"	"281,201.40"		Total for K12 Education	"281,201.40"	"281,201.40"		Total for 8/7/2027	"281,201.40"	"281,201.40"		Total for 8/17/2024	"281,201.40"	"281,201.40"	
Start Date: 8/17/2024	Estimated Completion Date: 8/7/2027	Practice Area: K12 Education	Status: Active	Project Short Name: Colorado Springs D11: Palmer High School	City: Colorado Springs	State: CO	Real or Awaiting: Real	Date Awarded: 8/5/2024	0104760.00.0	400	Bidding	Austin Studio 01	"2,231.40"	"2,231.40"		Total for 8/5/2024	"2,231.40"	"2,231.40"		Total for Real	"2,231.40"	"2,231.40"		Total for CO	"2,231.40"	"2,231.40"		Total for Colorado Springs	"2,231.40"	"2,231.40"		Total for Colorado Springs D11: Palmer High School	"2,231.40"	"2,231.40"		Total for Active	"2,231.40"	"2,231.40"		Total for K12 Education	"2,231.40"	"2,231.40"		Total for 8/7/2027	"2,231.40"	"2,231.40"		Total for 8/17/2024	"2,231.40"	"2,231.40"	
Start Date: 8/17/2024	Estimated Completion Date: 8/7/2027	Practice Area: K12 Education	Status: Active	Project Short Name: Colorado Springs D11: Palmer High School	City: Colorado Springs	State: CO	Real or Awaiting: Real	Date Awarded: 8/5/2024	0104760.00.0	500	Construction Administration	Austin Studio 01	"30,128.40"	"30,128.40"		Total for 8/5/2024	"30,128.40"	"30,128.40"		Total for Real	"30,128.40"	"30,128.40"		Total for CO	"30,128.40"	"30,128.40"		Total for Colorado Springs	"30,128.40"	"30,128.40"		Total for Colorado Springs D11: Palmer High School	"30,128.40"	"30,128.40"		Total for Active	"30,128.40"	"30,128.40"		Total for K12 Education	"30,128.40"	"30,128.40"		Total for 8/7/2027	"30,128.40"	"30,128.40"		Total for 8/17/2024	"30,128.40"	"30,128.40"	
Start Date: 8/17/2024	Estimated Completion Date: 8/7/2027	Practice Area: K12 Education	Status: Active	Project Short Name: Colorado Springs D11: Palmer High School	City: Colorado Springs	State: CO	Real or Awaiting: Real	Date Awarded: 8/5/2024	0104760.00.0	600	Post Construction	Austin Studio 01				Total for 8/5/2024				Total for Real				Total for CO				Total for Colorado Springs				Total for Colorado Springs D11: Palmer High School				Total for Active				Total for K12 Education				Total for 8/7/2027				Total for 8/17/2024			
Start Date: 2/1/2025	Estimated Completion Date: 7/17/2026	Practice Area: K12 Education	Status: Active	Project Short Name: Jeffco Public Schools: Capital MP	City: Golden	State: CO	Real or Awaiting: Real	Date Awarded: 	0105290.00.0	 	Jeffco Public Schools: Capital MP	Austin Studio 01	"274,900.33"	"274,900.33"		Total for [blank]	"274,900.33"	"274,900.33"		Total for Real	"274,900.33"	"274,900.33"		Total for CO	"274,900.33"	"274,900.33"		Total for Golden	"274,900.33"	"274,900.33"		Total for Jeffco Public Schools: Capital MP	"274,900.33"	"274,900.33"		Total for Active	"274,900.33"	"274,900.33"		Total for K12 Education	"274,900.33"	"274,900.33"		Total for 7/17/2026	"274,900.33"	"274,900.33"		Total for 2/1/2025	"274,900.33"	"274,900.33"	
Start Date: 2/1/2025	Estimated Completion Date: 7/17/2026	Practice Area: K12 Education	Status: Active	Project Short Name: Jeffco Public Schools: Capital MP	City: Golden	State: CO	Real or Awaiting: Real	Date Awarded: 	0105290.00.0	30	Planning - Phase 1	Austin Studio 01	"274,900.33"	"274,900.33"		Total for [blank]	"274,900.33"	"274,900.33"		Total for Real	"274,900.33"	"274,900.33"		Total for CO	"274,900.33"	"274,900.33"		Total for Golden	"274,900.33"	"274,900.33"		Total for Jeffco Public Schools: Capital MP	"274,900.33"	"274,900.33"		Total for Active	"274,900.33"	"274,900.33"		Total for K12 Education	"274,900.33"	"274,900.33"		Total for 7/17/2026	"274,900.33"	"274,900.33"		Total for 2/1/2025	"274,900.33"	"274,900.33"	
Start Date: 2/1/2025	Estimated Completion Date: 7/17/2026	Practice Area: K12 Education	Status: Active	Project Short Name: Jeffco Public Schools: Capital MP	City: Golden	State: CO	Real or Awaiting: Real	Date Awarded: 	0105290.00.0	31	Strategy - Phase 2	Austin Studio 01				Total for [blank]				Total for Real				Total for CO				Total for Golden				Total for Jeffco Public Schools: Capital MP				Total for Active				Total for K12 Education				Total for 7/17/2026				Total for 2/1/2025			
Start Date: 2/1/2025	Estimated Completion Date: 7/17/2026	Practice Area: K12 Education	Status: Active	Project Short Name: Jeffco Public Schools: Capital MP	City: Golden	State: CO	Real or Awaiting: Real	Date Awarded: 	0105290.00.0	32	Implementation - Phase 3	Austin Studio 01				Total for [blank]				Total for Real				Total for CO				Total for Golden				Total for Jeffco Public Schools: Capital MP				Total for Active				Total for K12 Education				Total for 7/17/2026				Total for 2/1/2025			
Start Date: 	Estimated Completion Date: 	Practice Area: K12 Education	Status: Active	Project Short Name: Richland County: Facilities Condition	City: Columbia	State: SC	Real or Awaiting: Real	Date Awarded: 	P003022.00.0	 	Richland County: Facilities Condition	Austin Studio 01				Total for [blank]				Total for Real				Total for SC				Total for Columbia				Total for Richland County: Facilities Condition				Total for Active				Total for K12 Education				Total for [blank]				Total for [blank]			
Start Date: 	Estimated Completion Date: 	Practice Area: K12 Education	Status: Active	Project Short Name: Comal ISD: Long-Range Facility Planning	City: New Braunfels	State: TX	Real or Awaiting: Real	Date Awarded: 	P003659.00.0	 	Comal ISD: Long-Range Facility Planning	Austin Studio 01				Total for [blank]				Total for Real				Total for TX				Total for New Braunfels				Total for Comal ISD: Long-Range Facility Planning				Total for Active				Total for K12 Education				Total for [blank]				Total for [blank]			
Start Date: 	Estimated Completion Date: 	Practice Area: K12 Education	Status: Active	Project Short Name: Oxford Schools Feasibility Study	City: Oxford	State: MA	Real or Awaiting: Real	Date Awarded: 	P003710.00.0	 	Oxford Schools Feasibility Study	Austin Studio 01				Total for [blank]				Total for Real				Total for MA				Total for Oxford				Total for Oxford Schools Feasibility Study				Total for Active				Total for K12 Education				Total for [blank]				Total for [blank]			
Start Date: 1/20/2025	Estimated Completion Date: 3/21/2025	Practice Area: K12 Education	Status: Active	Project Short Name: AISD: Architectural Services for 3 Sites	City: Austin	State: TX	Real or Awaiting: Real	Date Awarded: 6/6/2023	P003887.00.0	 	AISD: Architectural Services for 3 Sites	Austin Studio 01				Total for 6/6/2023				Total for Real				Total for TX				Total for Austin				Total for AISD: Architectural Services for 3 Sites				Total for Active				Total for K12 Education				Total for 3/21/2025				Total for 1/20/2025			
Start Date: 	Estimated Completion Date: 	Practice Area: K12 Education	Status: Active	Project Short Name: Comal ISD: Construction Related Prof Srv	City: New Braunfels	State: TX	Real or Awaiting: Real	Date Awarded: 	P004035.00.0	 	Comal ISD: Construction Related Prof Srv	Austin Studio 01				Total for [blank]				Total for Real				Total for TX				Total for New Braunfels				Total for Comal ISD: Construction Related Prof Srv				Total for Active				Total for K12 Education				Total for [blank]				Total for [blank]			
Start Date: 	Estimated Completion Date: 	Practice Area: K12 Education	Status: Active	Project Short Name: Dallas ISD: Potential Project	City: Dallas	State: TX	Real or Awaiting: Real	Date Awarded: 	P004046.00.0	 	Dallas ISD: Potential Project	Austin Studio 01				Total for [blank]				Total for Real				Total for TX				Total for Dallas				Total for Dallas ISD: Potential Project				Total for Active				Total for K12 Education				Total for [blank]				Total for [blank]			
Start Date: 	Estimated Completion Date: 	Practice Area: K12 Education	Status: Active	Project Short Name: FCPS: Facility Condition Assessment	City: Falls Church	State: VA	Real or Awaiting: Real	Date Awarded: 	P004056.00.0	 	FCPS: Facility Condition Assessment	Austin Studio 01				Total for [blank]				Total for Real				Total for VA				Total for Falls Church				Total for FCPS: Facility Condition Assessment				Total for Active				Total for K12 Education				Total for [blank]				Total for [blank]			
Start Date: 	Estimated Completion Date: 	Practice Area: K12 Education	Status: Active	Project Short Name: Asheville City Schools	City: Asheville	State: NC	Real or Awaiting: Real	Date Awarded: 	P004224.00.0	 	Asheville City Schools	Raleigh Charlotte Studio 01				Total for [blank]				Total for Real				Total for NC				Total for Asheville				Total for Asheville City Schools				Total for Active				Total for K12 Education				Total for [blank]				Total for [blank]			
Start Date: 	Estimated Completion Date: 	Practice Area: K12 Education	Status: Active	Project Short Name: Syracuse: Staffing and Utilization	City: Syracuse	State: NY	Real or Awaiting: Real	Date Awarded: 	P004365.00.0	 	Syracuse: Staffing and Utilization	Austin Studio 01				Total for [blank]				Total for Real				Total for NY				Total for Syracuse				Total for Syracuse: Staffing and Utilization				Total for Active				Total for K12 Education				Total for [blank]				Total for [blank]			
Start Date: 	Estimated Completion Date: 	Practice Area: K12 Education	Status: Active	Project Short Name: MCPS_Facilities Master Plan	City: Rockville	State: MD	Real or Awaiting: Real	Date Awarded: 	P004395.00.0	 	MCPS_Facilities Master Plan	Austin Studio 01				Total for [blank]				Total for Real				Total for MD				Total for Rockville				Total for MCPS_Facilities Master Plan				Total for Active				Total for K12 Education				Total for [blank]				Total for [blank]			
Start Date: 	Estimated Completion Date: 	Practice Area: K12 Education	Status: Active	Project Short Name: WCCUSD FMP Services	City: Richmond	State: CA	Real or Awaiting: Real	Date Awarded: 	P004433.00.0	 	WCCUSD FMP Services	San Francisco Studio 01				Total for [blank]				Total for Real				Total for CA				Total for Richmond				Total for WCCUSD FMP Services				Total for Active				Total for K12 Education				Total for [blank]				Total for [blank]			
Start Date: 	Estimated Completion Date: 	Practice Area: Mixed Use + Retail	Status: Active	Project Short Name: Brevard County_ Ed Facilities Planning	City: Viera	State: FL	Real or Awaiting: Real	Date Awarded: 	P004448.00.0	 	Brevard County_ Ed Facilities Planning	Austin Studio 01				Total for [blank]				Total for Real				Total for FL				Total for Viera				Total for Brevard County_ Ed Facilities Planning				Total for Active				Total for Mixed Use + Retail				Total for [blank]				Total for [blank]			
